user_id,username,leftID,leftPV,righID,rightPV,award_pv,award_pv_left,award_pv_right
5360,Dupe01,5380,0,5394,0,0,0,0
5361,Ochimiri,5403,0,5794,0,0,0,0
5381,"P uwah",5819,0,5820,0,0,0,0
5393,Divineglory,5398,0,5428,0,0,0,0
5399,Obim01,5418,92,5584,170,92,46,46
5400,Beke311311,5426,180,5427,90,90,45,45
5418,Davi01,5454,47,5532,45,45,22.5,22.5
5440,TotalVictory,5441,0,5754,0,0,0,0
5447,Iboroma1,5467,0,5633,0,0,0,0
5462,Oddyco4life,5525,930,5542,160,160,80,80
5467,": Ezilight",5753,0,5793,0,0,0,0
5471,DDgirl3,5678,0,5679,0,0,0,0
5494,NurseFavour,5534,0,5561,0,0,0,0
5516,Graify,5517,0,5518,0,0,0,0
5525,uniquepee,5526,160,5527,767,160,80,80
5526,uniquepee2,5560,0,5640,0,0,0,0
5549,EXCESSDOLLARS,5550,35,5551,35,35,17.5,17.5
5554,Clarachuks2,5555,0,5556,0,0,0,0
5565,admin_main_2022,5566,2870,5568,3500,2870,1435,1435
5589,pharmchy,5635,0,5636,0,0,0,0
5604,Gifto,5606,206,5607,160,160,80,80
5607,Gifto3,5702,45,5717,90,45,22.5,22.5
5614,Sabyngo,5628,0,5629,0,0,0,0
5628,Ladyfide,5660,0,5662,0,0,0,0
5631,Chinyere123,5691,0,5632,0,0,0,0
5660,mabulo,5680,0,5772,0,0,0,0
5664,DANBEST,5683,0,5673,0,0,0,0
5714,UMOH22,5715,0,5716,0,0,0,0
5746,ciscas,5747,0,5748,0,0,0,0
5757,UDYLIFE,5758,0,5759,0,0,0,0
5787,Megacash,5821,0,5801,0,0,0,0
5793,Cashflow237,5798,0,5799,0,0,0,0
